Name of Agency,Name of Contact,Contact Email,Contact URL,Special Instructions,Tags,Bio
Vermont State Treasurer,Ashlynn Doyon,treasurers.office@vermont.gov,NA,NA,"[treasurer, money, budget, municipal retirement, public retirement, teacher pension, public employee pension, retirement, unclaimed property ]","Beth Pearce is Vermont's 30th State Treasurer.  She became State Treasurer in 2011 and has been elected to three terms. Treasurer Pearce has over 40 years of experience in government finance at both the state and local levels.

The State Treasurer's Office is responsible for a wide range of administrative and service duties:

Investment of State funds.
Issuing all State bonds authorized by the General Assembly.
Serving as the central bank for State agencies.
Management of the State’s cash balances, processing of checks, and the reconciliation of payroll and vendor checks.
Safeguarding and return of unclaimed or abandoned financial property, which is held in trust by the State until the rightful owner can be located.
Administration of three major pension plans, the deferred compensation plan, and the defined contribution plan for State employees, teachers, and participating municipalities.
The State Treasurer’s Office takes these responsibilities seriously, managing the resources within its purview effectively and efficiently and promoting prudent financial practices in the State of Vermont. 

Organization
The State Treasurer’s Office is organized into an executive office and five divisions. The executive office is responsible for overall strategic planning, legislative initiatives, constituent relations, debt management, financial literacy, and supervision of the divisions. The Treasury Operations Division is responsible for the State’s banking, cash management, and financial transaction services. The Retirement Division administers three public retirement systems authorized by the legislature. Investment and Debt Management Services provides investment services for the State of Vermont and the three pension systems administered by the office, as well as debt management. The Unclaimed Property Division serves as the caretaker of abandoned or unclaimed financial property, while seeking to return it to its proper owner. Technology Services is responsible for developing and maintaining automated systems, providing appropriate access to information, maintaining the office web site, and maintaining the overall security of the office network and automated interactions with other State departments and entities outside of State government. 

Treasury Operations 
The Treasury Operations Division is the core operation for money movement within the State. The division is responsible for the banking, cash management, and short-term investing of State funds; the establishment and maintenance of the State’s banking network; the disbursement of the State’s warranted payments and debt service; the collection of certain receipts, including those related to education property tax payments from municipalities; and the recording of accounting transactions. Specific functions include:

The division directs the statewide cash management activities, with annual receipts and disbursements in excess of $5 billion. Activities include oversight of the State’s cash balances, preparing cash projections, processing automated and manual checks and electronic fund transfers, and reconciling the State’s core bank accounts. The division ( in conjunction with agencies and departments, and  financial institution partners) is responsible for implementing an effective and efficient statewide banking network to provide state-of-the-art cash management services and to ensure that the highest-quality services are available to customers.
The division invests and reinvests cash balances in a manner consistent with the safety and liquidity requirements for these funds, and that maximizes the earnings on temporary funds in accordance with statute.
The division processes approximately 1.5 million payments each year. More than two-thirds of those are conducted electronically, and one of the division's goals is to increase the proportion of transactions that occur electronically.
The division is responsible for preparing financial statements and schedules for the annual audit of the State’s books (as it relates to cash and investment disclosures), administering the Municipal Equipment Loan Fund, and assisting the Retirement Operations Division staff in the preparation of the pension trust fund financial statements.
This division also monitors education tax receipts from municipalities. If a municipality were delinquent in its education tax payment, the division would work to obtain proper payment. Unresolved delinquencies in payments could be referred to the Attorney General's Office for collection and/or prosecution.  
Retirement Operations 
The primary function of the Retirement Operations staff is to serve the needs of the active contributing members and retired members receiving benefit payments.

The State administers three defined benefit public retirement systems authorized by the legislature. These systems provide plans for State employees, public school teachers (grades K - 12), and municipal employees. Each retirement system has a governing board of trustees, with day-to-day administration provided by the Retirement Operations Division. Approximately 45,000 people are covered by these retirement systems.
The division provides administrative support for an optional defined contribution plan for exempt State employees. The Treasurer is the sole trustee for the fund and provides an array of investment options through a third party administrator, Fidelity Investments. The Municipal Retirement Board also provides oversight to an optional defined contribution plan.
The Retirement Division also administers a deferred compensation (457) program, a 403(b) investment program for school districts throughout the state, and a single depository investment account (SDIA)--a tax-sheltered account funded through employee transfers to a non-contributory system for State employees and teachers.
Services include member enrollment, provision of pension and health benefits information, retirement counseling and planning for members and retirees, collection and accounting for member and employer contributions, and financial management services for plan assets. 
Investment and Debt Management Services 
The Treasurer’s Office provides long-term investment services for the State of Vermont and the three pension systems. In addition, staff assists the Treasurer in the management of debt,  providing central coordination for all state-issued debt. Vermont’s disciplined approach to bonding and debt management in recent years resulted in Vermont rejoining the ranks of triple-A-rated states in February of 2007.

Certain trusts, including the Higher Education Fund, Tobacco Trust Fund, a State OPEB Trust Fund, and other trusts are pooled and invested in a Trust Investment Account (TIA). The Trustee for these funds is the State Treasurer. The Director of Investment and Debt Management assists the Treasurer in managing these assets, including asset allocation, manager selection, due diligence, and portfolio review.
The retirement boards act as trustees for various benefit-related trusts, including the municipal defined contribution plan, SDIA fund, the 457 deferred compensation fund, and a Municipal Employees’ Health Benefit Fund. The Treasurer is also the sole trustee for a State employee defined contribution plan. All employ outside managers. The Director of Investment and Debt management and other staff provide due diligence and portfolio review, as well as contract compliance and reconciliation functions.
The Vermont Pension Investment Committee (VPIC) acts as the trustee for the defined benefit plan investments. The State Treasurer’s Office provides administrative support including portfolio rebalancing, review, and due diligence and works with VPIC’s independent consultant to assist the VPIC members in their fiduciary responsibility. That includes development of investment policies and objectives; risk management assessment; asset allocation; investment manager searches; performance measurement; and ongoing due diligence.
The State Treasurer’s Office is responsible for issuing and managing the State's debt in a prudent and cost effective manner, issues bonds to finance capital projects, and manages the State’s debt program. Specific responsibilities include:
Oversee and manage the issuance of State debt.
Manage relationships with business partners including the financial advisor, underwriters, investment bankers, and bond counsel.
Monitor and execute refunding opportunities.
Provide debt financing and advisory services to State agencies, authorities, boards, commissions, and higher education institutions.
Manage and monitor arbitrage compliance, post issuance compliance, and the State’s continuing disclosure. 
Unclaimed Property
The Unclaimed Property Division’s primary goal is to reunite individuals with their unclaimed financial property. Unclaimed property is cash, stocks, bonds, security deposits, and other property that is not real estate. Banks, insurance companies, and other businesses have been holding this property for the owner, but have since lost contact with the owner. State law requires that this property be turned over to the Unclaimed Property Division, which then attempts to locate the owners and return the property to them.

The division employs a variety of programs to reach potential owners of property, including publication of an annual list of names in daily newspapers, advertising campaigns; staffing a booth at fairs and expositions; distribution of lists to town clerks and legislators; and the maintenance of a web site with search capabilities. The division promptly processes claims to return property to its rightful owners.
Vermont’s unclaimed property statute requires entities, known as holders, to report and remit certain tangible and intangible property to the State when the owner of such property cannot be located or contacted after a certain period of time. The division takes steps to ensure that holders of unclaimed financial property file their annual unclaimed property report so that these funds can reach their rightful owners. 
Technology Services 
The Technology Services Division is committed to providing excellent programming and technical support services to all the divisions of the Treasurer's Office. The intent is to enhance efficiency, accuracy, and security, and to contribute to the office's commitment to a high standard of service to the State of Vermont, its clients, and its citizens. The Technology Services Division is responsible for developing and maintaining automated systems, providing appropriate access to information, maintaining the Treasurer's Office web site, maintaining the office network and its security, and providing automated interaction with other departments and entities outside State government.

Constitutional Officers
The State Treasurer is a Constitutional Officer of the Executive Branch of the State of Vermont. Constitutional officers are elected by the voters of Vermont every two years to hold state-wide offices. In addition to the Treasurer, the state-wide officers are:"
Vermont Secretary of State,NA,NA,https://sos.vermont.gov/secretary-of-state-services/records-officer/,NA,"[secretary, elections, ]",
Vermont State Craft Centers,NA,NA,vtstatecraftcenters@gmail.com,NA,"[crafts, craft centers, public funding, ]","ermont State Craft Centers value diversity and inclusiveness. The network of Vermont State Craft Centers should have an array of uniquely individual craft products and represent the breadth of Vermont’s crafts community. Requirements are intended to be flexible, motivating, and responsive to the interests and resources of each Center. The State of Vermont recognizes and celebrates the broad array of talent, expertise and creativity that exists in the crafts community.

Vermont State Craft Centers are encouraged to work together as partners to serve as:

Resource centers for the crafts community;
Facilitators in an exchange of ideas and best practices;
Collaborators on education offerings;
Information sources to the community and public officials about the wealth of talent and resources in the crafts community; and
Focal points for regular meetings with peers to problem solve, pool knowledge, and discuss common issues faced in business operations, organizational dynamics, marketing and outreach, etc.
Overview Commission
The Vermont State Craft Center Overview Commission (VSCCOC) is appointed by the Governor and comprised of representatives from various state agencies and the crafts community. The Overview Commission oversees the Standards Group's designation, renewal and jury processes, and makes the final decisions regarding State Craft Center status.

Standards Group
The Standards Group serves as an advisory committee and is comprised of elected members of the Vermont crafts community of craft artists, educators, and retailers. The Standards Group is convened by the Vermont State Craft Center Overview Commission to implement the application and renewal procedure and the execution of jury review, while concurrently evaluating applicants for designation. Learn more about the specific responsibilities of Standards Group members and find out how you can serve on our Volunteer page."
State of Vermont Ethics Comission,NA,NA,NA,Must email Secretary of State Office,"[ethics, corruption, government, unethical, bribe, payment,]","The State Ethics Commission was created by No. 79 of the Acts of the 2017 Vermont General Assembly and is codified in Chapter 31 of Title 3 of the Vermont Statutes Annotated.

The State Ethics Commission is composed of the following five members:

one member appointed by the Chief Justice of the Supreme Court;

one member appointed by the League of Women Voters of Vermont, who is a member of the League;

one member appointed by the Board of Directors of the Vermont Society of Certified Public Accountants, who is a member of the Society;

one member appointed by the Board of Managers of the Vermont Bar Association, who is a member of the Association; and

one member appointed by the Board of Directors of the Vermont Human Resource Association, who is a member of the Association.

The State Ethics Commission is required to:

Prepare a financial disclosure form required for all candidates for State office, State Senator, or State Representative.

Create and maintain a State Code of Ethics that sets forth general principles of governmental ethical conduct.

Prepare and receive for filing a financial disclosure form from State officers, state agency Secretaries and their Deputies, state department Commissioners and their deputies, State Ethics Commission Members and Executive Director.

Accept, review, make referrals regarding, and track complaints of alleged violations of governmental conduct regulated by law, of the Department of Human Resources Code of Ethics, and of the State’s campaign finance law set forth in 17 V.S.A. chapter 61.

Provide governmental ethics training, annually to legislators, State officers and state employees.

Issue guidance and advisory opinions regarding ethical governmental conduct.

Report to the Vermont General Assembly regarding complaints received, guidance issued, and recommendations for legislative action."
Vermont Division of State Parks,NA,parks@vermont.gov,NA,May have to reach out to DNR,"[parks, state parks, ...]","Vermonters cherish the diversity our state has to offer: dramatic landscapes featuring our scenic mountains, lakes, and rivers; our wildlife heritage; and our strong rural identity, outdoor lifestyle, and historical traditions. Products from forests and farms enjoy global renown, as do our outdoor recreation opportunities, which are extremely popular and cater to individuals of all ages and skill levels. Thus it is not surprising that Vermont is one of the most desirable states to visit, live in, and conduct business.

Our forestland, natural resources, and outdoor recreation are a significant part of our identity. Forests comprise 78% of our landscape, providing habitat for many species of flora and fauna. Our forests, in fact, are a valuable, renewable, and thus sustainable resource, supporting an array of products, jobs, and recreational activities. Tourism and recreation, ever-more significant components of Vermont’s economy, are also directly dependent on our natural resources.

First Commissioner Perry MerrillVermont’s future, of course, will not only be shaped by in-state activities, but also by forces well beyond state lines: international markets, competing regional and national interests, climate change, diverse economies, and human demand for natural resources. In our state, where land is largely under private ownership and control, we—public and private sectors alike—must continue to work in partnership and engage in cooperative action to identify and work with these external forces for our collective, mutual benefit so that we create the Vermont we collectively want. We must also manage our natural resources within and not beyond our land’s natural capacity to produce them.

For our part, the Department of Forests, Parks and Recreation has a distinct role to play in the resources and opportunities within our purview."
Vermont State Rehabilitation Council,Kate Larose,kate.larose@vermont.gov,NA,NA,"[VocRehab, disabilities, employment, accessibility,]","Vermont’s State Rehabilitation Council (SRC) advocates for consumer-directed and effective vocational services and for the creation of resources and services that will result in equal opportunities for Vermonters with disabilities.

Under its mandate in the Rehabilitation Act, it “shall review, analyze and advise the designated state unit regarding the performance of the responsibilities of the unit under its title, particularly responsibilities relating to eligibility (including order of selection); extent, scope and effectiveness of services provided; and functions performed by state agencies that affect or that potentially affect the ability of individuals with disabilities in achieving rehabilitation goals.”"
Vermont Department of Taxes,Will Baker,will.baker@vermont.gov,https://tax.vermont.gov/public-records-request,NA,"[taxes, auditing, collection, income tax, state tax, ]",Our mission is to serve Vermonters by collecting the proper amount of tax revenue in a timely and efficient manner.
Vermont Department of Tourism and Marketing,John Kessler,John.Kessler@vermont.gov,NA,NA,"[tourism, ads, marketing, visitors,]","Tourism is one of the largest industries in Vermont, as the state welcomes over 13 million visitors each year. These visitors account for $3.0 billion in annual spending on lodging, food and drink, goods and services.

Summertime is the busiest time of year for tourism in Vermont, when we see more than 5 million people travel here to enjoy our wide open spaces and diverse attractions. Famous around the world for our beautiful fall foliage colors, visitors love to flock to Vermont’s byways to enjoy the spectacular change of seasons every year. During the winter, Vermont’s world class ski resorts make us the most popular destination in the Northeast for skiing and riding, followed by springtime, when we all enjoy Vermont's sweet distinction as the top producer of maple syrup in the country."
State of Vermont Transportaiton Board,John Zicconi,John.Zicconi@vermont.gov,NA,NA,"[transportation, busses, trains, boats, roads, highways,]","The Transportation Board was established by the Legislature to:

hear appeals from Agency decisions and rulings regarding measurement, description, or reclassification of town highways
hear and determine small claims
provide appellate review, when requested in writing, of decisions of the Secretary of Transportation when he or she assumes the powers and duties of a Selectboard in highway matters in unorganized towns
provide appellate review, when requested in writing, regarding legal disputes in the execution of contracts awarded by the Agency or by municipalities cooperating with the Agency to advance projects in the State's transportation program
provide appellate review, when requested in writing, of decisions of the Secretary relating to junkyards
provide appellate review when requested in writing, regarding the fairness of rents and fees charged for the occupancy or use of State-owned properties administered by the Agency
provide appellate review, when requested in writing, of Agency decisions and rulings regarding private and commercial access to State highway rights-of-way
in coordination with the Agency, hold public hearings for the purpose of obtaining public comment on the development of State transportation policy, the mission of the Agency, and State transportation planning, capital programming, and program implementation
hear and determine disputes involving the decision of a Selectboard not to plow and make negotiable a class 2 or 3 town highway or section of a highway during the winter or involving discontinuances of class 3 or 4 town highways extending into adjacent towns
when requested by the Secretary, conduct public hearings on matters of public interest, after which it shall transmit its findings and recommendations to the Secretary and the Chairs of the Senate and House Committees on Transportation in a report which shall be a public document
enforce all provisions and hear and determine all disputes on the Motor Vehicle Manufacturers, Distributors, and Dealers Franchising Practices Act
hear and determine disputes involving a determination of the agency that the municipality is responsible for repayment of federal funds required by the Federal Highway Administration"
Vermont Agency of Transportation,James Carpenter,James.E.Carpenter@vermont.gov,NA,NA,"[transportation, busses, trains, boats, roads, highways, VTrans,GoVermont! ]","Vermont has an extensive multimodal transportation system. With oversight from the Vermont Legislature, the Vermont Agency of Transportation (VTrans) is responsible for planning, development, implementation, and maintenance of a variety of transportation infrastructure including, but not limited to, roads, bridges, state-owned railroads, airports, park and ride facilities, bicycle facilities, pedestrian paths, public transportation facilities and services, and Department of Motor Vehicles operations and motor carrier enforcement. VTrans serves the entire population of the State of Vermont.

VTrans has more than 1,200 employees organized in four divisions: Policy, Planning and Intermodal Development; Finance and Administration; Highway; and District Maintenance and Fleet. The Department of Motor Vehicles is also housed within the Agency of Transportation; it has a main office in Montpelier and ten satellite offices statewide.

VTrans interacts with all State agencies and agencies within the United States Department of Transportation, as well as other federal agencies, numerous regional and state governments, international jurisdictions and cross-border organizations, local governments, transit agencies, airports, railroads, and the other private and non-profit entities engaged in transportation-related activities.

AGENCY MISSION, VISION AND GOALS

The Highway Division of VTrans is organized into four bureaus: Construction & Materials, Operations & Safety, Project Delivery, and Asset Management. Together, the Highway bureaus provide data driven recommendations for investment or asset improvements; engineering design for transportation infrastructure, acquisition of real estate property and minimizing resources impacts for transportation projects; oversight for construction projects; ensure of the quality of materials; provide grants and technical support for municipal projects; provide information to the traveling public on road conditions; and inspect and maintain bridges, culverts, signs, and signals.

The Division of Policy, Planning and Intermodal Development (PPID) oversees major non-highway transportation modes including state-owned rail lines, nine stateowned airports, and public transit providers. In addition to providing statewide planning and policy support, the division works with Vermont’s eleven Regional Planning Commissions and, in the Burlington region, the Metropolitan Planning Organization to develop regional transportation plans and generate input on prioritizing transportation projects in the regions. The division’s work is also supported by public input from the Rail Advisory Council, Aviation Advisory Council, and the Public Transit Advisory Council. PPID also is the lead on research, mapping, development review, and public outreach.

The Division of Finance and Administration provides services across the agency to support the activities that deliver on the mission of VTrans including contract administration, information technology, continuous improvement, accounting, budgeting, audit, civil rights, labor compliance, and recruitment. As in all aspects of our work, state and federal statutes provide the guidance and boundaries for Finance and Administration’s work. The transportation budget is composed of Federal, State, and Local funds. Federal fund sources come from the Federal Highway Administration, Federal Transit Administration, Federal Railroad Administration, Federal National Highway Safety Administration, and the Federal Aviation Administration. State funds are appropriated from the State Transportation Fund. The State Transportation revenues are derived primarily from three sources: the gas tax, the purchase and use tax, and Department of Motor Vehicle fees."
Vermont Department of Veteran's Affairs,NA,NA,https://veterans.vermont.gov/,Do not provide Public Records Framework but list phone numbers,"[veterans, support, mental health, help, VA]","Our site contains information to help you understand what benefits and services are available for Vermont veterans. The site consolidates information from numerous federal, state, and private organizations in order to make it easier for you to find what you are looking for.

"
Vermont Veteran's Home,NA,NA,https://vvh.vermont.gov/,Links all Records Requests to AOA,"[housing, veterans, support, dorms, ]","The original estate that houses the Vermont Veterans' Home was constructed in 1860. In 1884, recognizing the need to care for veterans disabled in the Civil War, the State General Assembly appointed Trustees of a Soldiers’ Home and authorized a $10,000 appropriation as initial funding. The first of twenty-five residents were admitted on May 18, 1887. On April 14, 1971, the Soldiers’ Home was renamed the Vermont Veterans’ Home.

Construction of a cemetery began in 1884 with one acre devoted to the burial of Civil War veterans. Expanded to 17 acres, and containing about 300 gravesites, burial is now restricted to residents of the VVH.

Significant capital construction began in the 1960’s including renovation of the administration building, residential areas, and dining room, and construction of new nursing care units, a chapel, social hall, gazebo, and bandstand. 

In the past several years, other significant additions and renovations occurred, including a geothermal system for heating and cooling, renovation of four residential units and development of a memorial area which includes monuments dedicated to Vermont Medal of Honor winners, Gold Star Mothers, and Vermont Veterans. Lighting systems, electronic controls, and information systems have been updated."
Vermont Comission on Women,Hannah Elle Lane,Hannah.lane@vermont.gov,NA,NA,"[women, sexism, equity, voting, ]","The Vermont Commission on Women (VCW) is an independent non-partisan state government commission.   We have a staff of 3 and are governed by 16 Commissioners and an Advisory Council of representatives of 27 organizations serving women and girls in Vermont.  The purpose of the VCW is to advance rights and opportunities for women and girls in Vermont.  In furtherance of that purpose, VCW:

*  conducts research and study of issues affecting the status of women in Vermont;

*  advises and consults with the executive and legislative branches of State government on policies affecting the status of women in Vermont;

*  educates and informs business, education, State and local governments, and the general public about the nature and scope of sex discrimination and other matters affecting the status of women in Vermont;

*  serves as a liaison and clearinghouse between government, private interest groups, and the general public concerned with services for women.

Women in Vermont still face inequities in earnings, employment, safety, leadership, and many other areas. Women in Vermont earn just 84% of what men in Vermont earn. They are more likely to live in poverty, more likely to be unable to meet their basic financial needs, and more likely to be single parents. Women in Vermont continue to experience disproportionate domestic and sexual violence, and are experiencing sexual harassment at rates estimated as high as 70-80%. Women are underrepresented at the highest levels of leadership in almost every arena in Vermont, often dramatically so. Just 8 out of the top 100 companies in Vermont have CEOs who are women; just one statewide elected official is a woman; and Vermont is the only state in the country that has never sent a woman to represent it in Congress.

The Vermont Commission on Women is the only entity in Vermont that expressly considers the broad implications of state policy and budget priorities for women as they impact all aspects of women’s lives. Many of our partner organizations consider distinct pieces of that puzzle, but no other organization is attempting to address that full picture. Without our work, the state would be missing any comprehensive and cohesive work that knits together varied interests and provides the missing voices for policy and program development.

We are the only clearinghouse for data and research specifically concerning women in Vermont, providing information to support the work of legislators, advocates, the media, business, and leadership development organizations. Without our work, there would be no ready source for the full range of information that we provide.

We are the only one-stop source for information and referral for thousands of Vermont women – particularly low-income, rural woman with limited access to resources and supports – who have exhausted other resources or whose needs are so complex they don’t know where to turn. Without our work, many Vermonters would have significantly more difficulty finding the help they need.

We create and distribute publications that are unique in Vermont, providing comprehensive information on women’s legal rights. Without our work, these publications would not exist, and Vermonters would not have the ready access to this information that we now provide.

BACKGROUND:  In 1962, President Kennedy challenged every state to create a “Governor’s Commission on the Status of Women.” These commissions would be charged with two tasks: “To encourage women to use their abilities, and to reduce discrimination against women.”  In response, on November 23, 1964, Vermont Governor Philip Hoff established the Governor’s Commission on the Status of Women by executive order. The order directed the Commission to conduct research about “how discrimination was occurring, how women’s roles were changing, documenting the needs of working women and their children, and supporting a more active role of women in the political life of the state.” VCW Meeting 2_18

We are now one of the oldest commissions in continuous operation in the United States, celebrating our 50th anniversary in 2014.  In 2002 we were put into Vermont statute and renamed the Vermont Commission on Women.  Our rich history of accomplishments reflects the evolution of the status of women in society and the hard work and dedication of hundreds of Vermonters, Commissioners, staff, Advisors and community partners.  Find a full list of our former Commissioners and more about our current ones here.   Learn more here about our work.

VCW meetings are open to the public and are usually held September through June on the second Wednesday of each month from 9:30-12:30 in Montpelier.  Link to our meeting schedule.  Please contact us to confirm date, time, and location."
